area,location,bhk,bath,balcony,parking,furnishing,property_type,age,price,area_per_bhk,bath_per_bhk,age_squared
906,HSR Layout,3,3,2,0,Fully-Furnished,Apartment,4,5970000,302.0,1.0,16
1338,Rajajinagar,3,3,0,2,Unfurnished,Villa,9,7710000,446.0,1.0,81
1092,Rajajinagar,3,3,0,2,Semi-Furnished,Apartment,9,10260000,364.0,1.0,81
1640,Sarjapur Road,2,2,1,2,Semi-Furnished,Independent House,7,15420000,820.0,1.0,49
888,Yelahanka,4,1,2,1,Unfurnished,Villa,5,6620000,222.0,0.25,25
1341,BTM Layout,2,3,0,2,Semi-Furnished,Apartment,8,10390000,670.5,1.5,64
1787,BTM Layout,2,2,1,1,Unfurnished,Villa,2,18920000,893.5,1.0,4
1209,Jayanagar,3,1,2,0,Fully-Furnished,Independent House,3,8690000,403.0,0.3333333333333333,9
2440,Yelahanka,4,1,0,0,Semi-Furnished,Villa,10,16090000,610.0,0.25,100
1611,HSR Layout,5,4,1,2,Fully-Furnished,Independent House,13,11920000,322.2,0.8,169
1566,Banashankari,2,3,0,0,Semi-Furnished,Apartment,10,12260000,783.0,1.5,100
1256,Marathahalli,2,1,0,1,Fully-Furnished,Independent House,10,9870000,628.0,0.5,100
1639,Koramangala,1,1,1,2,Fully-Furnished,Independent House,2,18310000,1639.0,1.0,4
1876,Marathahalli,1,1,0,1,Semi-Furnished,Independent House,11,10300000,1876.0,1.0,121
1303,Rajajinagar,4,1,1,1,Fully-Furnished,Apartment,6,12090000,325.75,0.25,36
1223,Yelahanka,2,3,1,2,Fully-Furnished,Independent House,14,5220000,611.5,1.5,196
1282,Koramangala,5,6,2,2,Semi-Furnished,Apartment,11,6340000,256.4,1.2,121
2207,Koramangala,3,4,2,0,Fully-Furnished,Independent House,6,22600000,735.6666666666666,1.3333333333333333,36
1196,Uttarahalli,1,1,0,2,Unfurnished,Independent House,13,7080000,1196.0,1.0,169
1391,Indiranagar,4,3,2,0,Semi-Furnished,Apartment,12,8180000,347.75,0.75,144
2002,BTM Layout,3,3,1,1,Unfurnished,Villa,11,11460000,667.3333333333334,1.0,121
1175,Indiranagar,5,4,0,1,Semi-Furnished,Apartment,4,9550000,235.0,0.8,16
1009,JP Nagar,5,4,2,2,Fully-Furnished,Independent House,4,4710000,201.8,0.8,16
2175,JP Nagar,4,3,0,2,Unfurnished,Independent House,2,17720000,543.75,0.75,4
2345,Sarjapur Road,3,2,1,2,Semi-Furnished,Villa,9,24110000,781.6666666666666,0.6666666666666666,81
2118,Electronic City,2,3,2,2,Unfurnished,Villa,11,14120000,1059.0,1.5,121
1020,Kengeri,2,1,1,2,Fully-Furnished,Villa,5,9870000,510.0,0.5,25
889,KR Puram,1,1,2,0,Unfurnished,Villa,1,9250000,889.0,1.0,1
1483,Whitefield,1,1,1,0,Semi-Furnished,Apartment,15,5770000,1483.0,1.0,225
948,Whitefield,1,1,1,1,Semi-Furnished,Independent House,14,7400000,948.0,1.0,196
978,Uttarahalli,5,1,2,0,Unfurnished,Villa,2,7790000,195.6,0.2,4
1644,Marathahalli,1,2,0,1,Unfurnished,Apartment,9,8040000,1644.0,2.0,81
1705,Bannerghatta Road,1,2,1,2,Semi-Furnished,Independent House,4,8440000,1705.0,2.0,16
1420,BTM Layout,3,4,1,0,Semi-Furnished,Villa,1,8610000,473.3333333333333,1.3333333333333333,1
2207,Bellandur,5,5,2,0,Semi-Furnished,Independent House,12,15210000,441.4,1.0,144
951,Whitefield,5,2,2,1,Fully-Furnished,Villa,11,10570000,190.2,0.4,121
2059,Electronic City,1,1,1,0,Fully-Furnished,Villa,1,18970000,2059.0,1.0,1
1972,Kengeri,1,2,2,2,Semi-Furnished,Villa,11,22400000,1972.0,2.0,121
1884,Electronic City,3,1,2,1,Unfurnished,Villa,3,15720000,628.0,0.3333333333333333,9
1350,KR Puram,5,3,2,2,Unfurnished,Apartment,1,7970000,270.0,0.6,1
2157,Koramangala,5,4,1,1,Fully-Furnished,Independent House,11,16140000,431.4,0.8,121
1351,Malleshwaram,3,4,2,1,Semi-Furnished,Independent House,13,9650000,450.3333333333333,1.3333333333333333,169
866,Sarjapur Road,3,1,2,2,Fully-Furnished,Apartment,2,7310000,288.6666666666667,0.3333333333333333,4
1109,Marathahalli,1,1,0,0,Semi-Furnished,Villa,9,9850000,1109.0,1.0,81
936,Koramangala,2,2,1,0,Fully-Furnished,Villa,14,5640000,468.0,1.0,196
1677,Electronic City,3,3,0,2,Fully-Furnished,Apartment,3,11910000,559.0,1.0,9
2429,BTM Layout,2,3,1,0,Semi-Furnished,Independent House,12,15730000,1214.5,1.5,144
1832,Electronic City,1,1,2,2,Semi-Furnished,Villa,2,20660000,1832.0,1.0,4
1214,Bannerghatta Road,3,1,1,0,Semi-Furnished,Villa,15,6810000,404.6666666666667,0.3333333333333333,225
1402,Indiranagar,5,4,2,1,Unfurnished,Independent House,15,8220000,280.4,0.8,225
988,BTM Layout,3,2,2,0,Fully-Furnished,Apartment,3,4500000,329.3333333333333,0.6666666666666666,9
1830,Sarjapur Road,3,2,2,1,Fully-Furnished,Apartment,12,9750000,610.0,0.6666666666666666,144
2325,HSR Layout,4,1,2,0,Semi-Furnished,Apartment,10,10590000,581.25,0.25,100
1691,Whitefield,4,2,1,2,Semi-Furnished,Villa,9,15580000,422.75,0.5,81
2413,Uttarahalli,1,1,1,2,Fully-Furnished,Independent House,13,18740000,2413.0,1.0,169
1470,Whitefield,2,1,1,1,Semi-Furnished,Independent House,2,15310000,735.0,0.5,4
2241,Jayanagar,4,2,2,1,Semi-Furnished,Apartment,2,20350000,560.25,0.5,4
1885,Sarjapur Road,2,2,2,1,Semi-Furnished,Independent House,5,13530000,942.5,1.0,25
2085,Banashankari,3,2,1,0,Unfurnished,Apartment,1,11780000,695.0,0.6666666666666666,1
1776,Malleshwaram,1,1,1,0,Semi-Furnished,Apartment,1,9270000,1776.0,1.0,1
1365,Sarjapur Road,3,3,0,2,Semi-Furnished,Villa,12,15430000,455.0,1.0,144
1824,Electronic City,5,4,0,0,Fully-Furnished,Apartment,3,7810000,364.8,0.8,9
1177,Indiranagar,5,1,1,2,Fully-Furnished,Apartment,13,8730000,235.4,0.2,169
1794,Hebbal,3,2,1,2,Semi-Furnished,Apartment,2,11820000,598.0,0.6666666666666666,4
1695,Rajajinagar,2,2,0,0,Fully-Furnished,Villa,12,9560000,847.5,1.0,144
2279,Bannerghatta Road,3,1,1,2,Unfurnished,Apartment,9,13180000,759.6666666666666,0.3333333333333333,81
2075,Rajajinagar,1,2,0,0,Fully-Furnished,Apartment,11,15600000,2075.0,2.0,121
1493,KR Puram,3,1,1,0,Fully-Furnished,Villa,6,20150000,497.6666666666667,0.3333333333333333,36
1078,Yelahanka,3,2,1,1,Unfurnished,Independent House,5,9830000,359.3333333333333,0.6666666666666666,25
2308,Bellandur,4,2,1,1,Unfurnished,Independent House,14,20560000,577.0,0.5,196
2417,Banashankari,1,1,1,1,Semi-Furnished,Apartment,10,22210000,2417.0,1.0,100
1847,Sarjapur Road,3,3,1,1,Semi-Furnished,Villa,7,18390000,615.6666666666666,1.0,49
1482,Koramangala,5,1,0,2,Unfurnished,Villa,14,11870000,296.4,0.2,196
1135,Banashankari,3,4,2,1,Semi-Furnished,Apartment,11,7710000,378.3333333333333,1.3333333333333333,121
1281,Indiranagar,1,1,1,1,Semi-Furnished,Apartment,15,5790000,1281.0,1.0,225
1055,Jayanagar,5,6,1,0,Fully-Furnished,Villa,7,7740000,211.0,1.2,49
978,Whitefield,2,1,2,2,Unfurnished,Apartment,10,4590000,489.0,0.5,100
1899,Yelahanka,1,1,1,1,Semi-Furnished,Villa,10,16680000,1899.0,1.0,100
1838,HSR Layout,1,1,2,0,Fully-Furnished,Apartment,8,10150000,1838.0,1.0,64
2100,Malleshwaram,5,3,2,0,Semi-Furnished,Independent House,8,19860000,420.0,0.6,64
812,HSR Layout,2,1,1,2,Semi-Furnished,Independent House,12,4100000,406.0,0.5,144
1290,Bannerghatta Road,1,1,1,0,Semi-Furnished,Villa,6,12740000,1290.0,1.0,36
2113,Indiranagar,1,1,1,2,Unfurnished,Apartment,13,12520000,2113.0,1.0,169
1730,Banashankari,1,2,2,0,Fully-Furnished,Independent House,3,13880000,1730.0,2.0,9
1070,Rajajinagar,4,4,0,2,Semi-Furnished,Apartment,5,9770000,267.5,1.0,25
959,KR Puram,5,5,2,0,Semi-Furnished,Apartment,10,7500000,191.8,1.0,100
1233,Marathahalli,1,1,2,0,Unfurnished,Independent House,7,10210000,1233.0,1.0,49
2209,Malleshwaram,4,4,0,0,Fully-Furnished,Villa,3,28770000,552.25,1.0,9
1226,BTM Layout,1,1,2,2,Semi-Furnished,Villa,13,10010000,1226.0,1.0,169
1990,Malleshwaram,5,2,0,2,Fully-Furnished,Villa,10,23080000,398.0,0.4,100
2317,Bellandur,4,3,1,1,Fully-Furnished,Apartment,8,22550000,579.25,0.75,64
2094,Koramangala,1,1,0,0,Semi-Furnished,Independent House,10,15330000,2094.0,1.0,100
1204,Yelahanka,2,2,0,1,Semi-Furnished,Apartment,1,7140000,602.0,1.0,1
1887,Marathahalli,5,6,1,2,Fully-Furnished,Independent House,6,15650000,377.4,1.2,36
2402,Sarjapur Road,5,5,2,2,Semi-Furnished,Apartment,8,11810000,480.4,1.0,64
2002,JP Nagar,1,1,0,1,Semi-Furnished,Villa,11,18190000,2002.0,1.0,121
2160,Sarjapur Road,2,1,0,1,Semi-Furnished,Independent House,8,10910000,1080.0,0.5,64
1828,Malleshwaram,1,1,0,0,Unfurnished,Apartment,7,13300000,1828.0,1.0,49
2091,Sarjapur Road,1,2,2,2,Unfurnished,Apartment,15,9750000,2091.0,2.0,225
2328,Marathahalli,5,4,2,0,Semi-Furnished,Villa,5,25250000,465.6,0.8,25
1537,Bannerghatta Road,3,3,2,0,Unfurnished,Villa,10,9670000,512.3333333333334,1.0,100
2173,Bannerghatta Road,4,3,1,2,Semi-Furnished,Independent House,7,19180000,543.25,0.75,49
2167,BTM Layout,4,4,2,1,Semi-Furnished,Apartment,15,19990000,541.75,1.0,225
1757,Rajajinagar,5,4,1,2,Unfurnished,Independent House,9,15770000,351.4,0.8,81
839,Uttarahalli,4,2,1,0,Fully-Furnished,Apartment,8,4600000,209.75,0.5,64
916,Yelahanka,2,2,1,2,Unfurnished,Villa,7,6330000,458.0,1.0,49
1979,Banashankari,4,5,2,1,Fully-Furnished,Villa,14,21080000,494.75,1.25,196
2004,Malleshwaram,4,4,0,2,Semi-Furnished,Villa,6,21710000,501.0,1.0,36
915,Whitefield,3,3,0,2,Unfurnished,Apartment,9,7270000,305.0,1.0,81
1699,Sarjapur Road,2,3,0,0,Semi-Furnished,Apartment,12,11140000,849.5,1.5,144
1860,KR Puram,4,2,1,0,Unfurnished,Apartment,15,7270000,465.0,0.5,225
2383,Koramangala,4,5,0,1,Semi-Furnished,Apartment,2,13880000,595.75,1.25,4
1175,Bannerghatta Road,4,1,2,1,Semi-Furnished,Apartment,11,11140000,293.75,0.25,121
1250,Uttarahalli,3,2,0,0,Fully-Furnished,Apartment,5,9290000,416.6666666666667,0.6666666666666666,25
1156,Indiranagar,3,3,0,2,Fully-Furnished,Independent House,4,10870000,385.3333333333333,1.0,16
2241,Malleshwaram,1,2,0,2,Unfurnished,Villa,7,10320000,2241.0,2.0,49
1133,Whitefield,2,1,2,2,Unfurnished,Independent House,8,10290000,566.5,0.5,64
1263,Hebbal,3,3,0,2,Fully-Furnished,Independent House,8,5630000,421.0,1.0,64
1858,KR Puram,3,3,0,0,Semi-Furnished,Apartment,2,11750000,619.3333333333334,1.0,4
1004,Whitefield,5,2,2,2,Unfurnished,Independent House,6,6300000,200.8,0.4,36
1241,Whitefield,2,2,2,2,Fully-Furnished,Apartment,1,6870000,620.5,1.0,1
984,HSR Layout,3,2,1,2,Unfurnished,Apartment,9,6000000,328.0,0.6666666666666666,81
1902,Yelahanka,2,2,0,0,Semi-Furnished,Villa,4,15500000,951.0,1.0,16
1574,Jayanagar,3,3,0,0,Semi-Furnished,Apartment,9,8960000,524.6666666666666,1.0,81
918,KR Puram,1,1,1,0,Unfurnished,Villa,7,5800000,918.0,1.0,49
2163,Hebbal,2,1,1,0,Fully-Furnished,Villa,10,13890000,1081.5,0.5,100
1661,Koramangala,4,4,2,0,Unfurnished,Apartment,15,9420000,415.25,1.0,225
1954,Koramangala,5,3,0,1,Semi-Furnished,Apartment,12,10390000,390.8,0.6,144
1578,Hebbal,1,2,1,2,Fully-Furnished,Villa,13,13460000,1578.0,2.0,169
890,Malleshwaram,3,2,1,2,Semi-Furnished,Independent House,8,7580000,296.6666666666667,0.6666666666666666,64
2210,Yelahanka,5,3,1,2,Unfurnished,Apartment,2,7790000,442.0,0.6,4
1292,Whitefield,1,1,1,2,Unfurnished,Apartment,9,9270000,1292.0,1.0,81
2391,KR Puram,4,2,1,2,Fully-Furnished,Villa,6,13660000,597.75,0.5,36
2200,Indiranagar,5,5,1,2,Fully-Furnished,Apartment,3,18750000,440.0,1.0,9
2403,Koramangala,3,3,1,0,Fully-Furnished,Villa,5,31450000,801.0,1.0,25
1533,Jayanagar,1,2,0,1,Semi-Furnished,Independent House,11,14050000,1533.0,2.0,121
1359,Bellandur,3,3,2,1,Fully-Furnished,Apartment,11,10760000,453.0,1.0,121
1348,Sarjapur Road,2,1,0,0,Semi-Furnished,Apartment,11,5660000,674.0,0.5,121
2047,Banashankari,3,1,0,2,Unfurnished,Villa,2,14440000,682.3333333333334,0.3333333333333333,4
2117,Sarjapur Road,1,2,1,0,Semi-Furnished,Independent House,11,12710000,2117.0,2.0,121
1220,Hebbal,5,2,1,2,Fully-Furnished,Apartment,8,12350000,244.0,0.4,64
2454,Yelahanka,4,1,1,1,Fully-Furnished,Villa,6,32730000,613.5,0.25,36
1494,Bellandur,4,4,1,0,Unfurnished,Apartment,4,6310000,373.5,1.0,16
2407,Rajajinagar,1,1,1,0,Unfurnished,Apartment,3,10250000,2407.0,1.0,9
1327,Kengeri,4,2,1,0,Fully-Furnished,Independent House,12,15150000,331.75,0.5,144
1502,Banashankari,3,3,0,1,Unfurnished,Independent House,14,11860000,500.6666666666667,1.0,196
2114,Kengeri,4,2,0,0,Fully-Furnished,Apartment,7,11030000,528.5,0.5,49
1046,KR Puram,5,1,2,1,Fully-Furnished,Villa,5,11950000,209.2,0.2,25
813,Koramangala,2,3,2,2,Unfurnished,Apartment,15,4440000,406.5,1.5,225
2461,Banashankari,2,1,1,1,Fully-Furnished,Apartment,4,22050000,1230.5,0.5,16
1411,Kengeri,4,5,1,2,Semi-Furnished,Villa,5,6730000,352.75,1.25,25
2169,BTM Layout,5,3,2,2,Unfurnished,Villa,13,15430000,433.8,0.6,169
1940,Banashankari,2,1,0,2,Semi-Furnished,Apartment,3,17250000,970.0,0.5,9
1910,Rajajinagar,1,1,2,2,Semi-Furnished,Apartment,10,16580000,1910.0,1.0,100
1414,BTM Layout,3,1,1,2,Fully-Furnished,Apartment,9,11740000,471.3333333333333,0.3333333333333333,81
2450,Whitefield,2,3,1,1,Unfurnished,Villa,9,12460000,1225.0,1.5,81
2275,Electronic City,3,1,1,2,Fully-Furnished,Apartment,14,13160000,758.3333333333334,0.3333333333333333,196
1563,Bannerghatta Road,5,6,2,0,Fully-Furnished,Villa,15,11860000,312.6,1.2,225
1110,Malleshwaram,5,6,0,0,Unfurnished,Independent House,11,10440000,222.0,1.2,121
2128,Bellandur,1,1,0,2,Fully-Furnished,Villa,6,25320000,2128.0,1.0,36
1831,Yelahanka,5,5,0,1,Fully-Furnished,Independent House,2,10210000,366.2,1.0,4
1161,Kengeri,5,2,0,0,Unfurnished,Apartment,1,5000000,232.2,0.4,1
1886,Rajajinagar,1,2,1,2,Unfurnished,Independent House,1,17100000,1886.0,2.0,1
1907,Sarjapur Road,2,3,1,2,Fully-Furnished,Villa,11,17220000,953.5,1.5,121
2430,Yelahanka,5,3,0,0,Unfurnished,Independent House,3,17520000,486.0,0.6,9
2064,Kengeri,3,4,0,0,Unfurnished,Villa,10,13630000,688.0,1.3333333333333333,100
2100,Electronic City,5,1,2,0,Fully-Furnished,Villa,2,25430000,420.0,0.2,4
1440,Indiranagar,4,2,2,2,Unfurnished,Villa,3,11790000,360.0,0.5,9
1583,Rajajinagar,5,3,1,1,Fully-Furnished,Independent House,14,16450000,316.6,0.6,196
1874,Malleshwaram,1,2,1,0,Semi-Furnished,Apartment,11,15820000,1874.0,2.0,121
1370,BTM Layout,3,4,2,2,Fully-Furnished,Villa,14,18350000,456.6666666666667,1.3333333333333333,196
2169,Bannerghatta Road,5,3,1,1,Unfurnished,Villa,12,13870000,433.8,0.6,144
2499,Bellandur,2,2,0,0,Fully-Furnished,Independent House,4,26080000,1249.5,1.0,16
1847,Bellandur,4,1,0,2,Semi-Furnished,Apartment,15,11260000,461.75,0.25,225
1138,Malleshwaram,2,1,1,2,Unfurnished,Villa,1,6080000,569.0,0.5,1
1799,Whitefield,4,2,0,0,Unfurnished,Independent House,8,6470000,449.75,0.5,64
1778,Rajajinagar,4,3,1,0,Fully-Furnished,Independent House,7,18780000,444.5,0.75,49
2195,HSR Layout,1,2,1,0,Semi-Furnished,Apartment,3,14490000,2195.0,2.0,9
1510,Kengeri,5,4,1,2,Semi-Furnished,Villa,6,10880000,302.0,0.8,36
1502,Whitefield,4,3,1,0,Unfurnished,Independent House,8,7260000,375.5,0.75,64
1304,Sarjapur Road,4,5,2,1,Fully-Furnished,Villa,7,10520000,326.0,1.25,49
2264,Uttarahalli,1,1,0,1,Unfurnished,Villa,9,10630000,2264.0,1.0,81
2441,Rajajinagar,4,4,0,1,Unfurnished,Villa,4,18310000,610.25,1.0,16
1441,Koramangala,2,3,0,0,Semi-Furnished,Villa,8,10210000,720.5,1.5,64
915,Kengeri,5,6,2,2,Semi-Furnished,Independent House,6,4030000,183.0,1.2,36
840,Banashankari,2,3,2,1,Fully-Furnished,Apartment,3,7340000,420.0,1.5,9
1868,Kengeri,2,1,1,0,Fully-Furnished,Villa,15,9470000,934.0,0.5,225
2114,Whitefield,5,5,2,1,Unfurnished,Apartment,4,9720000,422.8,1.0,16
1574,Marathahalli,3,3,0,2,Unfurnished,Apartment,3,11350000,524.6666666666666,1.0,9
1937,KR Puram,2,3,2,1,Semi-Furnished,Independent House,15,10250000,968.5,1.5,225
1053,Marathahalli,4,4,2,0,Semi-Furnished,Villa,7,12860000,263.25,1.0,49
1038,Uttarahalli,5,3,1,2,Fully-Furnished,Villa,7,13130000,207.6,0.6,49
830,Kengeri,2,2,1,0,Semi-Furnished,Villa,8,9650000,415.0,1.0,64
926,Bellandur,5,4,0,1,Unfurnished,Independent House,5,4630000,185.2,0.8,25
1035,Marathahalli,2,1,0,0,Semi-Furnished,Apartment,15,7150000,517.5,0.5,225
1660,Uttarahalli,3,3,2,2,Fully-Furnished,Independent House,11,8020000,553.3333333333334,1.0,121
1794,Electronic City,1,1,2,1,Semi-Furnished,Villa,12,11540000,1794.0,1.0,144
934,Yelahanka,3,1,0,2,Fully-Furnished,Apartment,5,7220000,311.3333333333333,0.3333333333333333,25
1738,Koramangala,2,1,2,2,Semi-Furnished,Villa,6,10740000,869.0,0.5,36
1708,Jayanagar,5,1,1,1,Fully-Furnished,Independent House,2,17070000,341.6,0.2,4
1013,Rajajinagar,5,1,1,0,Semi-Furnished,Apartment,14,6340000,202.6,0.2,196
1971,BTM Layout,2,3,1,0,Unfurnished,Independent House,10,8550000,985.5,1.5,100
1907,KR Puram,2,2,1,1,Unfurnished,Independent House,7,10970000,953.5,1.0,49
1139,HSR Layout,2,1,0,0,Unfurnished,Apartment,3,4470000,569.5,0.5,9
1555,Bannerghatta Road,2,2,2,1,Semi-Furnished,Villa,5,13790000,777.5,1.0,25
2356,Malleshwaram,3,1,0,0,Fully-Furnished,Villa,11,23380000,785.3333333333334,0.3333333333333333,121
1861,HSR Layout,4,5,2,1,Unfurnished,Independent House,8,14100000,465.25,1.25,64
994,Hebbal,1,1,1,2,Semi-Furnished,Independent House,7,6740000,994.0,1.0,49
1521,Jayanagar,2,1,2,2,Fully-Furnished,Independent House,8,10360000,760.5,0.5,64
1662,Marathahalli,3,1,2,2,Semi-Furnished,Apartment,12,12120000,554.0,0.3333333333333333,144
918,Hebbal,2,2,1,1,Semi-Furnished,Independent House,13,9410000,459.0,1.0,169
1674,JP Nagar,3,3,2,1,Unfurnished,Villa,1,12420000,558.0,1.0,1
1521,Marathahalli,3,4,0,1,Fully-Furnished,Apartment,3,11620000,507.0,1.3333333333333333,9
2373,Yelahanka,5,1,0,2,Unfurnished,Independent House,13,12750000,474.6,0.2,169
2276,HSR Layout,2,1,2,0,Fully-Furnished,Independent House,8,18710000,1138.0,0.5,64
2473,Indiranagar,2,2,1,1,Semi-Furnished,Independent House,14,19260000,1236.5,1.0,196
2203,JP Nagar,2,2,0,0,Semi-Furnished,Apartment,12,9110000,1101.5,1.0,144
2234,Kengeri,1,2,0,1,Semi-Furnished,Independent House,4,9480000,2234.0,2.0,16
1110,Malleshwaram,2,3,0,2,Unfurnished,Apartment,14,6620000,555.0,1.5,196
2445,Electronic City,1,1,1,2,Semi-Furnished,Independent House,1,9870000,2445.0,1.0,1
1618,JP Nagar,3,1,1,2,Unfurnished,Villa,14,10330000,539.3333333333334,0.3333333333333333,196
1291,Rajajinagar,4,3,1,2,Semi-Furnished,Independent House,15,11910000,322.75,0.75,225
1417,Bannerghatta Road,5,3,1,2,Unfurnished,Independent House,1,12720000,283.4,0.6,1
2471,Banashankari,1,1,2,2,Fully-Furnished,Villa,9,26730000,2471.0,1.0,81
1851,Rajajinagar,4,5,2,0,Fully-Furnished,Apartment,9,14290000,462.75,1.25,81
1107,Whitefield,3,4,2,2,Fully-Furnished,Independent House,10,7390000,369.0,1.3333333333333333,100
2042,Bellandur,1,2,2,2,Fully-Furnished,Apartment,10,16340000,2042.0,2.0,100
2153,Rajajinagar,4,4,1,0,Fully-Furnished,Villa,8,29200000,538.25,1.0,64
1844,Hebbal,4,2,0,1,Unfurnished,Independent House,13,9050000,461.0,0.5,169
1293,Uttarahalli,3,1,0,1,Unfurnished,Villa,3,7400000,431.0,0.3333333333333333,9
1369,Whitefield,5,4,2,2,Semi-Furnished,Apartment,13,10840000,273.8,0.8,169
1949,BTM Layout,2,1,1,0,Semi-Furnished,Independent House,1,16320000,974.5,0.5,1
1965,Indiranagar,4,1,2,2,Unfurnished,Apartment,12,16510000,491.25,0.25,144
2234,Malleshwaram,3,2,1,2,Fully-Furnished,Villa,13,13190000,744.6666666666666,0.6666666666666666,169
2395,Electronic City,5,3,1,2,Semi-Furnished,Villa,10,23670000,479.0,0.6,100
1826,Kengeri,3,4,2,1,Fully-Furnished,Apartment,12,14600000,608.6666666666666,1.3333333333333333,144
2146,Indiranagar,4,5,1,2,Unfurnished,Villa,7,14400000,536.5,1.25,49
1616,Sarjapur Road,4,1,2,0,Unfurnished,Villa,6,17700000,404.0,0.25,36
1491,Sarjapur Road,5,3,0,0,Unfurnished,Independent House,1,10310000,298.2,0.6,1
2114,KR Puram,5,5,1,2,Unfurnished,Independent House,4,14220000,422.8,1.0,16
1944,Banashankari,2,3,1,1,Fully-Furnished,Villa,12,17910000,972.0,1.5,144
2210,Banashankari,3,1,0,0,Unfurnished,Independent House,7,15340000,736.6666666666666,0.3333333333333333,49
1380,Yelahanka,3,1,0,1,Fully-Furnished,Apartment,3,9870000,460.0,0.3333333333333333,9
918,Rajajinagar,3,1,2,1,Fully-Furnished,Apartment,6,5540000,306.0,0.3333333333333333,36
2172,Yelahanka,2,3,2,0,Semi-Furnished,Independent House,1,13950000,1086.0,1.5,1
2302,Hebbal,1,1,1,2,Unfurnished,Independent House,8,19000000,2302.0,1.0,64
1446,Electronic City,1,1,2,1,Fully-Furnished,Apartment,5,7130000,1446.0,1.0,25
1275,Marathahalli,3,1,1,2,Fully-Furnished,Villa,3,14420000,425.0,0.3333333333333333,9
2043,Uttarahalli,4,4,1,1,Fully-Furnished,Villa,6,15270000,510.75,1.0,36
1249,Uttarahalli,2,2,1,2,Fully-Furnished,Apartment,15,5890000,624.5,1.0,225
1594,Kengeri,4,5,1,1,Fully-Furnished,Apartment,5,14850000,398.5,1.25,25
1936,Sarjapur Road,2,1,1,0,Fully-Furnished,Apartment,2,17650000,968.0,0.5,4
2492,BTM Layout,4,3,1,0,Semi-Furnished,Apartment,8,17270000,623.0,0.75,64
1153,Yelahanka,5,4,2,2,Fully-Furnished,Independent House,4,9470000,230.6,0.8,16
1821,HSR Layout,4,5,2,2,Unfurnished,Apartment,1,11550000,455.25,1.25,1
1577,Koramangala,4,2,0,0,Unfurnished,Villa,14,12240000,394.25,0.5,196
2464,Jayanagar,2,2,2,0,Semi-Furnished,Independent House,7,12650000,1232.0,1.0,49
1732,KR Puram,4,5,0,0,Unfurnished,Apartment,8,11770000,433.0,1.25,64
880,Rajajinagar,4,2,0,1,Unfurnished,Apartment,13,6180000,220.0,0.5,169
1254,Bellandur,2,1,2,2,Semi-Furnished,Apartment,2,11590000,627.0,0.5,4
1564,Jayanagar,5,4,0,1,Fully-Furnished,Independent House,6,16940000,312.8,0.8,36
1883,Marathahalli,4,2,0,2,Fully-Furnished,Villa,11,24220000,470.75,0.5,121
2183,Yelahanka,4,4,1,2,Fully-Furnished,Apartment,12,15030000,545.75,1.0,144
1599,Indiranagar,5,6,1,1,Semi-Furnished,Independent House,5,12760000,319.8,1.2,25
1361,Whitefield,2,2,2,0,Fully-Furnished,Independent House,7,12500000,680.5,1.0,49
1915,Uttarahalli,1,2,2,0,Semi-Furnished,Apartment,7,9310000,1915.0,2.0,49
